State Code,avg_allowance_rate,avg_pending,avg_receipts,avg_determinations,ssdi_rate,ssi_rate,concurrent_rate,processing_rate,poverty_rate,physicians_per_100k,political_party,unemployment_rate,demanding_industry_pct
AK,49.2,1191.8,342.2,309.1,53.4,55.5,36.6,90.3,10.7,267,R,4.1,18.5
AL,31.0,16981.6,5260.9,5022.4,39.7,30.1,22.8,95.5,16.8,223,R,3.0,22.1
AR,34.8,9591.2,3247.5,3138.7,43.7,35.1,25.1,96.6,17.0,194,R,3.3,21.3
AZ,35.3,12527.4,3628.7,3187.5,38.9,38.9,25.3,87.8,14.2,237,R,4.0,16.8
CA,38.5,63397.9,20015.5,18680.0,43.2,41.1,26.3,93.3,13.0,303,D,4.7,14.2
CO,35.0,8508.6,2421.3,2069.6,39.7,40.3,22.7,85.5,9.5,280,D,3.0,16.5
CT,36.9,6175.9,1983.8,1907.3,46.3,36.5,22.6,96.1,9.6,360,D,4.3,13.8
DC,40.5,2109.2,577.3,527.4,49.5,42.0,32.3,91.4,13.5,786,D,4.9,5.2
DE,41.0,2213.3,615.3,536.0,49.3,39.2,30.3,87.1,10.5,280,D,3.8,14.9
FL,34.6,45792.3,14290.0,13417.2,38.3,37.9,25.3,93.9,12.9,238,R,2.8,14.6
GA,30.8,29986.4,7134.4,6334.3,36.4,31.5,23.6,88.8,14.5,218,R,3.3,18.2
HI,42.5,2061.8,595.7,554.6,46.8,46.5,30.4,93.1,9.3,341,D,3.3,11.2
IA,38.1,4686.9,1800.4,1728.6,47.9,40.1,22.8,96.0,9.9,213,R,2.8,21.5
ID,39.8,2113.1,976.4,928.2,45.2,46.1,25.8,95.1,11.1,178,R,2.9,20.1
IL,36.4,23865.1,7419.1,7189.9,45.2,35.5,25.8,96.9,12.5,288,D,4.4,16.3
IN,32.9,13821.9,4862.0,4689.2,40.4,32.6,23.5,96.4,12.5,220,R,3.5,23.8
KS,41.1,4476.6,1453.0,1276.0,49.5,43.7,27.0,87.8,11.4,223,R,2.9,19.8
KY,30.8,14041.5,4624.8,4500.7,37.5,32.9,20.0,97.3,16.5,226,R,4.0,22.4
LA,36.5,15970.4,4726.6,4229.4,45.7,35.3,29.3,89.5,19.1,248,D,3.8,19.6
MA,43.4,13230.3,4059.6,3915.7,51.9,45.6,29.0,96.5,9.4,418,D,2.9,11.9
MD,36.5,13520.2,3716.1,3211.7,46.7,37.2,24.7,86.4,9.3,382,D,1.9,12.4
ME,37.2,3057.6,985.3,944.7,45.6,38.9,23.3,95.9,10.3,295,D,2.8,17.8
MI,35.6,26465.7,7862.8,7542.3,44.3,34.7,24.1,95.9,13.4,253,D,3.9,20.5
MN,40.2,7333.2,2681.6,2580.6,48.2,43.1,24.7,96.2,8.9,294,D,2.8,18.2
MO,35.9,12799.8,5229.2,5066.7,47.5,35.1,24.5,96.9,13.5,246,R,2.8,19.8
MS,28.2,12725.1,3688.4,3546.4,36.5,27.6,22.1,96.2,19.8,166,R,4.0,21.8
MT,38.1,2013.3,582.5,522.3,45.0,41.5,26.1,89.7,12.5,231,R,2.9,18.9
NC,31.5,25902.0,7475.6,7204.8,37.2,33.5,22.0,96.4,14.5,234,R,3.5,20.1
ND,41.5,932.5,309.7,290.3,48.8,46.1,26.6,93.7,9.9,226,R,1.9,23.8
NE,40.3,2624.2,973.1,927.0,49.9,43.0,25.6,95.3,9.4,238,R,2.5,22.1
NH,53.2,2615.6,733.8,706.2,58.9,55.3,41.4,96.2,7.2,319,R,2.2,14.2
NJ,43.3,14256.6,4585.3,4312.6,52.0,42.0,30.2,94.1,9.6,319,D,4.5,12.8
NM,38.2,4796.2,1396.8,1251.0,43.8,41.9,27.7,89.6,18.4,230,D,4.3,16.8
NV,41.2,5292.5,1502.8,1341.2,46.7,43.3,31.5,89.2,13.3,194,R,5.4,13.8
NY,40.6,31156.4,12352.6,11992.5,48.2,40.6,27.5,97.1,13.3,341,D,4.4,11.5
OH,33.2,27045.4,9079.9,8820.6,43.5,32.1,23.1,97.1,13.6,263,R,4.2,20.8
OK,33.5,10425.2,3243.5,3097.7,38.7,36.3,23.5,95.5,15.5,174,R,3.4,20.9
OR,37.7,7614.8,2317.1,2133.6,43.4,44.0,23.0,92.1,11.5,263,D,4.0,16.8
PA,38.6,27469.6,9901.6,9552.9,48.3,38.0,26.1,96.5,11.9,303,D,4.0,17.8
RI,41.2,2520.2,739.2,718.4,50.8,40.2,26.9,97.2,10.5,346,D,3.0,12.8
SC,32.6,16232.0,4060.5,3689.7,39.0,32.1,25.2,90.9,15.2,218,R,3.4,19.8
SD,38.6,1498.3,464.6,430.0,47.8,41.4,25.0,92.6,10.5,218,R,2.7,23.1
TN,29.1,20491.3,5490.6,5149.5,35.3,30.8,20.3,93.8,14.6,226,R,3.3,21.8
TX,37.3,58374.6,16869.6,15632.6,40.7,41.2,28.1,92.7,14.7,201,R,4.1,19.8
UT,38.4,3967.1,1090.7,949.2,40.6,48.1,23.0,87.0,8.7,237,R,2.7,20.5
VA,40.9,14978.8,4659.7,4226.1,47.0,42.0,30.7,90.7,9.9,263,R,2.9,15.8
VT,45.7,965.9,391.0,373.8,52.9,49.3,31.8,95.6,10.5,337,D,2.3,16.8
WA,39.6,11241.4,4041.1,3748.8,47.0,42.8,25.4,92.8,10.0,289,D,3.7,14.8
WI,38.3,11510.2,3453.0,3225.1,47.7,39.2,24.4,93.4,10.0,258,R,2.9,21.8
WV,30.6,6338.6,1959.0,1899.7,38.3,30.7,19.7,97.0,17.1,213,R,4.2,27.8
WY,46.2,918.0,276.5,240.8,52.9,48.2,34.6,87.1,9.9,200,R,3.3,22.1
